исправлять,corregir
лекарства,las pastillas
дерево,el árbol
шоппинг,shopping
парковка,el estacionamiento
фудкорт,el lugar de comer
бесплатно,son gratis/sin pago
ручка,la lapicera
рюкзак,la mochila
смешной,gracioso
с собой,conmigo
здесь,aquí/acá
замечательно,precioso
вкусный,rico
кондиционер,el aire
дождит,llueve
почти,casi
неважно,no importa
желать,tener ganas
красивый,bonito / lindo
там,allí / allá / ahí
видеть,ver
затем,después
холодильник,la nevera
уставший,cansado
женатый,casado
квартира,el departamento
продолжать,seguir
надевать,ponerse
помещать,poner
приносить,traer
футболка,una remera
до,antes de
штаны,el pantalón
платье,el vestido
после,después de
включать музыку,poner la música
физические упражнения,los ejercicios físicos
погода/время,el tiempo
значение слова,qué
спросить название,cuál
рождать,nacer
жители,los habitantes
мука,la harina
тесто,la masa
начиненный,rellena
песок,la arena
восток,el este
запад,el oeste
север,el norte
юг,el sur
приземляться,aterrizar
падать,caerse
жениться,casarse
"здороваться, ударяться",chocar
убегать,escaparse
терять,perder
жалеть,arrepentirse
влюбляться,enamorarse
вставать,levantarse
помнить,acordarse
просыпаться,despertarse
злиться,enojarse
наносить макияж,maquillarse
привыкать,acostumbrarse
оставаться дома,quedarse
одеваться,vestirse
порезаться,cortarse
бриться,afeitarse
обжечься,quemarse
иначе,de otra manera
записывать,tomar notas
схватил,te tengo
так что,así que
куртка,la campera
футболка,la remera
шорты,pantalones cortos
нижнее бельё,ropa interior
фен,secador de pelo
выходные,finde (fin de semana)
чемодан,la maleta
шарф,la bufanda
кепка,el gorro
рано,temprano
уродлив,feo
нож,el cuchillo
волноваться,preocuparse
кузен,el primo
племянник,el sobrino
внук,el nieto
умный,inteligente
общительный,sociable
толерантный,tolerante
терпеливый,paciente
искренний,sincero
щедрый,generoso
застенчивый,tímido
спокойный,tranquilo
старательный-сфокусированный-посвященный,dedicado
забавный (веселый),divertido
приятный,simpático
дружелюбный или любезный,amable
оптимист,optimista
шаловливый,revoltoso
ленивый,vago
холодный,frío
нетерпимый,intolerante
егоистичный,egoísta
агрессивный,agresivo
высокомерный,arrogante
нервный,nervioso
глупый,tonto
тупой,estúpido
безразличный,indiferente
жадный,tacaño
скучный,aburrido
болтливый,hablador
неприятный,antipático
рассеянный,despistado
пессимист,pesimista
молчать,callar
танцы,la danza
плюшевые игрушки,peluches
всё равно,me da/dan igual
тело,el cuerpo
голова,la cabeza
глаза,los ojos
рот,la boca
губы,los labios
шея,el cuello
плечи,los hombros
руки (не кисть),los brazos
живот,el abdomen / la barriga
кисть,la mano
желудок или внутренности,el estómago
ноги (не ступни),las piernas
ступни,los pies
колени,las rodillas
лодыжки,los tobillos
грудь,el pecho
грудь женская,las tetas
молочные железы,las mamas
спина,la espalda
пальцы,los dedos
усы,el bigote
борода,la barba
зад,el culo
подбородок,el mentón
брови,las cejas
веки,los párpados
талия,la cintura
ушная раковина,las orejas
внутреннее ухо,los oídos
подмышка,la axila
резцы,los dientes
жевательные зубы,las muelas
язык,la lengua
щека,el cachete
лоб,el frente
нёбо,el paladar
вагина,la vagina
пизда (ракушка),la concha
пенис,el pene
писюлек,el pito
хуй,la pija
лицо,la cara
укреплять,fortalecer
плавание,la natación
гребля,el remo
отжимания либо тренировка с собственным весом,las flexiones
мышцы,los músculos
болить,doler
кашель,la tos
температура,la fiebre
холодно,frío
жарко,calor
тошнит,náuseas
выглядеть больным,cara de enfermo
головокружение,mareado
запор/заболевший (в Испании),constipado
трахаться/брать (в Испании),coger
уставший,cansado
простудившийся,resfriado
чипсы,papitas
горло,la garganta
садиться,sentarse
удобный,cómodo
насморк,tener moco
лететь,volar
блевать,vomitar
тратить,gastar
пойти спать,ir a la cama
подарки,regalos
кстати,por cierto
быть должен сделать глагол,tener que + глагол
енот,el mapache
лиса,el zorro
хорошо,"cool, vale, dale, copado"
кататься на коньках,patinar
рисовать (графические материалы),dibujar
рисовать (масляные краски),pintar
вязать и ткать,tejer
рожать,dar a luz
малыш/малышка,nene/nena
сурок,la marmota
кукла,la muñeca
спешить,tener prisa
дата,la fecha
тяжкий,duro
очень (аргентинское),re muy
заниматься некоторое время,parar un rato
потом (без конкретного),luego/despues
после (чего-то конкретного) + инфинитив,después de
"до (того как, до события) + инфинитив",antes de
до времени,hasta la
правда,verdad
вчера вечером,anoche
сериал,serie
незнакомец,desconocido
подарок,regalo
когда-нибудь,alguna vez
о/про,sobre
переводить,traducir
приезжать,venir
"ДТП, случай",accidente
пожар,incendio
происходить (случай в моменте времени),producirse
раб,esclavo
поздная ночь/раннее утро,madrugada
ложиться,acostarse
сталкиваться,chocar
выиграть,ganar
"бой, поединок, борьба",pelea
взлетать,despegar
испортить,arruinar
отправить,mandar
перебрать (выпить много алкоголя),tomar demasiado alcohol
"приз, премия",premio
украсть,robar
сумочка,la cartera
рыба,el pez
снег,la nieve
падает снег (снежить),nevar
дождь,la lluvia
идет дождь (дождить),llover
борец,el luchador
бороться,luchar
спортсмен,el jugador
переезжать,mudarse
жаренная картошка,papas salteadas
жениться,casarse
сначала,al principio
морской лев,el lobo marino
волк,el lobo
омлет,huevos revueltos
крутить,revolver
консульство,el consulado
бедный,pobrecito
дурак/дура,boludo/boluda
кусать,morder
помнить,recordar
попытка,intento
кемпинг,el campamento
концерт,el recital
никогда не танцевал,no bailè nunca
переехать,trasladarse
поддерживать,apoyar
снова,de nuevo / de vuelta
борьба,la lucha
убивать,asesinar / matar
строгий,estricto
"при всех, прилюдно",delante
"пытаться, пробовать",intentar
медлить,tardar
гордый,orgulloso
мне стыдно когда,me da verguenza
мат,puteada / palabra mala
оставаться,quedar
"отвечать, опротестовать",contestar
зажиточный,acomodado
мечтать,soñar
дерёвня,el pueblo
стать кем-то,convertirse
предлагать,ofrecer
права,derechos
голосовать,votar
достигать,lograr
ласково,cariñosamente
несмотря на,a pesar de
оставлять,dejar
наследие,el legado
продолжительное,duradero
доброволец,el voluntario
преподавать,enseñar
всё еще,"aún, todavía"
родственник,el pariente
дальний,lejano
владеть языком,dominar
несмотря на это,sin embargo
признавать,reconocer
путать,confundir
стипендия,la beca
так что,así que
исследовать,descubrir
"угол (место, или угол в комнате)",el rincón
угол (пересечение улиц),la esquina
считать,opinar
насколько большая,qué tan granda
несчастный случай,el accidente
"испытание, челлендж",el reto
к тому же,aparte
очень много,muchísimo
нехватать,faltar
диван,el sillón
кресло,el sillón individual
журнальный столик,la mesita ratón
ковер,la alfombra
торшер,la lámpara (de pie)
люстра,luz con pantalla
ваза,el florero
книжный шкаф,la biblioteca de madera
картина,el cuadro
деревянный,madera
стеклянный,cristal
мрамор,mármol
